what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1471817762423
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1471817762423
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1471817762423
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1471817762423
java.vm.specification.version,sysinfo,,,"1.7",1471817762423
java.vm.vendor,sysinfo,,,"Oracle Corporation",1471817762423
java.vm.version,sysinfo,,,"24.79-b02",1471817762423
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1471817769303
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1471817769318
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1471817769661
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471817779551
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471817779598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471818038490
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471818347523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818353310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818354277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818388175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818393322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818394056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818446751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818702179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818705440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471818707514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818714066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818715969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818819226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818820255
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1471818822580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818833719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818836979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818837947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818840443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818841332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818844093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818861270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818862081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818897572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818910817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818911301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818923158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818924234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818934686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818938758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818939195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818949367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471818952440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818952892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818964687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471818965498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471819005529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471819013813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471820201193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471820202456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471820206481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471820206746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471820208306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471820222034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471820227947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471820231644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471820239647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471820259505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471820266588
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1471820269739
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1471820269739
