what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1477407838740
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1477407838740
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1477407838740
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1477407838740
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1477407838740
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1477407838740
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1477407838740
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1477407838740
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1477407838741
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1477407838741
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1477407838741
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1477407838741
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1477407838741
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1477407838741
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1477407838741
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1477407838741
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1477407838741
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1477407838741
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1477407838741
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1477407838741
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1477407838741
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1477407838741
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1477407838741
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1477407838741
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1477407838741
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1477407838741
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1477407838741
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1477407838742
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1477407838742
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1477407838742
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477407838742
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477407838742
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477407838742
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1477407838742
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1477407838742
os,sysinfo,,,"win32",1477407838744
arch,sysinfo,,,"x86",1477407838744
ws,sysinfo,,,"win32",1477407838744
locale,sysinfo,,,"en_US",1477407838744
processors,sysinfo,,,"4",1477407838744
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477407838744
java.runtime.version,sysinfo,,,"1.8.0_91-b14",1477407838744
java.specification.name,sysinfo,,,"Java Platform API Specification",1477407838744
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477407838744
java.specification.version,sysinfo,,,"1.8",1477407838744
java.vendor,sysinfo,,,"Oracle Corporation",1477407838744
java.version,sysinfo,,,"1.8.0_91",1477407838744
java.vm.info,sysinfo,,,"mixed mode",1477407838744
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1477407838744
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477407838744
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1477407838744
java.vm.specification.version,sysinfo,,,"1.8",1477407838744
java.vm.vendor,sysinfo,,,"Oracle Corporation",1477407838744
java.vm.version,sysinfo,,,"25.91-b14",1477407838744
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1477407839973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477407843965
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1477407846918
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1477407846925
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1477407847214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477407858655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477407912211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408056392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408078582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408099453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408101212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408102856
error,log,,,"Internal Error",1477408103064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408104453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408526926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408539208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408910605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477408912596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409034679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409036762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409716062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409746311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409813278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477409825154
