what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1472475241506
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1472475241506
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1472475241506
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1472475241506
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1472475241506
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1472475241506
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1472475241506
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1472475241506
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1472475241506
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1472475241506
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1472475241506
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1472475241506
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1472475241506
os,sysinfo,,,"win32",1472475241506
arch,sysinfo,,,"x86",1472475241506
ws,sysinfo,,,"win32",1472475241522
locale,sysinfo,,,"en_US",1472475241522
processors,sysinfo,,,"4",1472475241522
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1472475241522
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1472475241522
java.specification.name,sysinfo,,,"Java Platform API Specification",1472475241522
java.specification.vendor,sysinfo,,,"Oracle Corporation",1472475241522
java.specification.version,sysinfo,,,"1.7",1472475241522
java.vendor,sysinfo,,,"Oracle Corporation",1472475241522
java.version,sysinfo,,,"1.7.0_79",1472475241522
java.vm.info,sysinfo,,,"mixed mode, sharing",1472475241522
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1472475241522
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1472475241522
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1472475241522
java.vm.specification.version,sysinfo,,,"1.7",1472475241522
java.vm.vendor,sysinfo,,,"Oracle Corporation",1472475241522
java.vm.version,sysinfo,,,"24.79-b02",1472475241522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1472475246169
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1472475249382
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1472475249398
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1472475249959
