what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471891982703
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1471891990003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892061348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892146768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471892152908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471892160073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471892162773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471892164108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471892167968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1471892179323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892187253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892189703
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1471892190388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471892193153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892212478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892336398
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471892338408
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1471892340518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892340598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892341653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471892341733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471892348093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471892361113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892361793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892769658
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1471892769913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892770413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471892771888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471892773133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471892813782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471892817872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471892820697
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471892821717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471892823407
