what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965334243
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471965380866
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965397603
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965397634
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471965398261
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965398463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965398494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965401177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471965401209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965406725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471965416359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965418122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965420228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471965420228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965425828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965439532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965441081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965442084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965442365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471965443738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471965445173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471965461775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471965464240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471965497471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965501331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965554425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965895673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965897623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965897763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965902514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965956729
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965959818
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965959818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965961269
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965961269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965971535
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471965971535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965979975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471965983006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471972253444
