what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1473444355551
ws,sysinfo,,,"win32",1473444355551
locale,sysinfo,,,"en_US",1473444355551
processors,sysinfo,,,"4",1473444355551
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473444355551
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1473444355551
java.specification.name,sysinfo,,,"Java Platform API Specification",1473444355551
java.specification.vendor,sysinfo,,,"Oracle Corporation",1473444355551
java.specification.version,sysinfo,,,"1.7",1473444355551
java.vendor,sysinfo,,,"Oracle Corporation",1473444355551
java.version,sysinfo,,,"1.7.0_79",1473444355551
java.vm.info,sysinfo,,,"mixed mode, sharing",1473444355551
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1473444355551
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473444355551
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473444355551
java.vm.specification.version,sysinfo,,,"1.7",1473444355551
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473444355551
java.vm.version,sysinfo,,,"24.79-b02",1473444355551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473444411329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473444412214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473444412861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446194037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1473446201622
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1473446203306
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1473446203750
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1473446207534
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1473446224493
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1473446225395
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473446230123
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1473446231365
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1473446231900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473446232120
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1473446232465
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1473446234563
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1473446234630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446242775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446242837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1473446245644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446261961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446280373
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1473446284849
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1473446285054
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1473446285067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473446285331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473448622346
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473448625137
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473448625183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473448627755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473448634626
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.line",1473448634714
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1473448638800
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473448639084
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473448639108
