what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368113370
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476368113636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476368113658
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1476368113658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368117377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368118348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1476368119680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368120706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368122308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476368122538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476368129342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368131070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368136701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476368138301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368150059
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1476368214778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368215027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1476368215031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1476368380599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476368380863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476369167470
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476369168989
