what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1476289329378
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1476289329378
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1476289329378
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1476289329378
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1476289329378
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1476289329378
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1476289329378
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1476289329378
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1476289329378
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1476289329378
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1476289329378
os,sysinfo,,,"win32",1476289329382
arch,sysinfo,,,"x86",1476289329382
ws,sysinfo,,,"win32",1476289329382
locale,sysinfo,,,"en_US",1476289329382
processors,sysinfo,,,"4",1476289329382
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476289329382
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1476289329382
java.specification.name,sysinfo,,,"Java Platform API Specification",1476289329382
java.specification.vendor,sysinfo,,,"Oracle Corporation",1476289329382
java.specification.version,sysinfo,,,"1.7",1476289329382
java.vendor,sysinfo,,,"Oracle Corporation",1476289329382
java.version,sysinfo,,,"1.7.0_79",1476289329382
java.vm.info,sysinfo,,,"mixed mode, sharing",1476289329382
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1476289329382
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476289329382
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1476289329382
java.vm.specification.version,sysinfo,,,"1.7",1476289329382
java.vm.vendor,sysinfo,,,"Oracle Corporation",1476289329382
java.vm.version,sysinfo,,,"24.79-b02",1476289329382
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1476289340862
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1476289340868
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1476289340961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476290285026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476290286739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476290297245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291436798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291443670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291458281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291464587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291467282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291470377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476291475793
