what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981088859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981798025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981801136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981802804
error,log,,,"Internal Error",1471981803469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981822164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981823869
error,log,,,"Internal Error",1471981823884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981870813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981873650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471981873653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471981877163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981879200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981883378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981886638
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471981886813
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471981886911
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1471981886926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981887816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471981887839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471981888071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981899492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981902160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981915126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471981926194
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471981927729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981928429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471981928502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471981929049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471981937423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471981937680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471981957564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471981971769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471981979297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471982003903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982011401
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982018265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471982018267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982038834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471982074234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982075144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982077722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982079127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471982080955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471982084280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471982085800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982096630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982101973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982102085
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471982108040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982109110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1471982109140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471982109475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982111730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982115038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982387879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982388139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471982390746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982393361
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982412841
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471982420247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471982432426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471982438301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1471982438936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471982451016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982454399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982454424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982454454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982456909
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1471982457217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471982458995
